module	verdict	reason	sources	nodes	outputs	flops	mems	inputs	check_ms	step1_ms	run_ms	cycles	wall_s	rss_kb	path
PipelinedCPU	ACCEPTED		4711	5061	9	64	0	7	66	350	1380	4	42.3	1251416	/soe/czeng14/projects/livehd-new/generated/b1_b2_verified_compiler_review/dino/lean/PipelinedCPU_Lgraph.lean
PipelinedDualIssueCPU	ACCEPTED		9862	10740	9	97	0	7	133	705	2799	4	134.7	2166320	/soe/czeng14/projects/livehd-new/generated/b1_b2_verified_compiler_review/dino/lean/PipelinedDualIssueCPU_Lgraph.lean
SingleCycleCPU	ACCEPTED		4438	4772	9	33	0	7	60	342	1340	4	35.3	1221232	/soe/czeng14/projects/livehd-new/generated/b1_b2_verified_compiler_review/dino/lean/SingleCycleCPU_Lgraph.lean
aes_gate	ACCEPTED		6	4	1	0	0	3	0	1	0	4	1.4	470844	/soe/czeng14/projects/livehd-new/generated/cva6_vc/lean.pre_v8/aes_gate_Lgraph.lean
aes_gate	ACCEPTED		8658	11681	1	0	0	3	131	564	2317	4	133.3	2197884	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/aes/lean/aes_gate_Lgraph.lean
alu_gate	ACCEPTED		429	436	2	0	0	3	11	78	240	4	3.2	549404	/soe/czeng14/projects/livehd-new/generated/cva6_vc/lean.pre_v8/alu_gate_Lgraph.lean
alu_gate	ACCEPTED		6137	6597	2	0	0	3	81	754	3060	4	63.8	1498048	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/alu/lean/alu_gate_Lgraph.lean
alu_wrapper_gate	ACCEPTED		6134	6595	2	0	0	3	77	793	2996	4	58.1	1478352	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/alu_wrapper/lean/alu_wrapper_gate_Lgraph.lean
amo_buffer_gate	ACCEPTED		166	186	2	7	0	11	7	33	65	4	2.4	496232	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/amo_buffer/lean/amo_buffer_gate_Lgraph.lean
ariane_regfile_gate	ACCEPTED		1034	1121	1	32	0	7	24	16	54	4	6.4	652176	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/ariane_regfile/lean/ariane_regfile_gate_Lgraph.lean
bht_gate	ACCEPTED		7372	7275	1	256	0	6	102	2396	9284	4	87.4	1650400	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/bht/lean/bht_gate_Lgraph.lean
branch_unit_gate	ACCEPTED		180	191	4	0	0	9	4	24	69	4	2.4	498948	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/branch_unit/lean/branch_unit_gate_Lgraph.lean
btb_gate	ACCEPTED		1784	1782	1	64	0	6	24	2847	11332	4	36.0	745816	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/btb/lean/btb_gate_Lgraph.lean
commit_stage_gate	ACCEPTED		1188	1276	22	0	0	13	26	211	786	4	9.0	663476	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/commit_stage/lean/commit_stage_gate_Lgraph.lean
compressed_decoder_gate	ACCEPTED		1913	2022	5	0	0	1	28	83	337	4	11.9	783220	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/compressed_decoder/lean/compressed_decoder_gate_Lgraph.lean
controller_gate	ACCEPTED		118	104	13	3	0	17	5	5	11	4	2.0	487792	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/controller/lean/controller_gate_Lgraph.lean
controller_gate	ACCEPTED		118	104	13	3	0	17	4	5	11	4	2.2	486260	/soe/czeng14/projects/livehd-new/generated/cva6_vc/lean.pre_v8/controller_gate_Lgraph.lean
csr_buffer_gate	ACCEPTED		45	44	3	2	0	6	1	2	6	4	1.5	478340	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/csr_buffer/lean/csr_buffer_gate_Lgraph.lean
csr_buffer_gate	ACCEPTED		45	44	3	2	0	6	2	3	7	4	1.6	476828	/soe/czeng14/projects/livehd-new/generated/cva6_vc/lean.pre_v8/csr_buffer_gate_Lgraph.lean
csr_regfile_gate	ACCEPTED		32822	34874	60	136	0	24	622	35870	139609	4	1837.0	5991096	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/csr_regfile/lean/csr_regfile_gate_Lgraph.lean
cva6_fifo_v3_gate	ACCEPTED		292	291	4	31	0	6	11	169	591	4	3.7	530232	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/cva6_fifo_v3/lean/cva6_fifo_v3_gate_Lgraph.lean
cva6_hpdcache_if_adapter_gate	ACCEPTED		76	80	8	0	0	8	2	23	68	4	2.3	484784	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/cva6_hpdcache_if_adapter/lean/cva6_hpdcache_if_adapter_gate_Lgraph.lean
cva6_icache_gate	ACCEPTED		806	899	5	10	0	9	20	69	235	4	5.5	601648	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/cva6_icache/lean/cva6_icache_gate_Lgraph.lean
cva6_ptw_gate	ACCEPTED		3424	3775	12	11	0	26	66	160	547	4	24.2	1063172	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/cva6_ptw/lean/cva6_ptw_gate_Lgraph.lean
cva6_shared_tlb_gate	ACCEPTED		146	136	8	5	0	22	6	31	61	4	2.3	492552	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/cva6_shared_tlb/lean/cva6_shared_tlb_gate_Lgraph.lean
cvxif_compressed_if_driver_gate	ACCEPTED		48	53	6	0	0	10	2	6	21	4	1.3	483816	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/cvxif_compressed_if_driver/lean/cvxif_compressed_if_driver_gate_Lgraph.lean
cvxif_fu_gate	ACCEPTED		28	23	8	0	0	8	1	5	17	4	1.8	477116	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/cvxif_fu/lean/cvxif_fu_gate_Lgraph.lean
cvxif_issue_register_commit_if_driver_gate	ACCEPTED		40	38	6	0	0	12	1	9	30	4	1.8	473864	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/cvxif_issue_register_commit_if_driver/lean/cvxif_issue_register_commit_if_driver_gate_Lgraph.lean
debug_breakpoint	ACCEPTED		146	165	4	0	0	8	5	15	40	4	2.6	494992	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/debug_breakpoint_Lgraph.lean
decoder_gate	ACCEPTED		8373	8971	3	0	0	30	181	388	1266	4	97.7	1900192	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/decoder/lean/decoder_gate_Lgraph.lean
fpu_wrap_gate	ACCEPTED		24034	27523	6	275	0	9	389	1600	6279	4	776.9	4682900	/soe/czeng14/projects/livehd-new/generated/cva6_vc/lean.pre_v8/fpu_wrap_gate_Lgraph.lean
fpu_wrap_gate	ACCEPTED		24825	28410	6	275	0	9	394	1652	6461	4	910.7	4764300	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/fpu_wrap/lean/fpu_wrap_gate_Lgraph.lean
frontend_gate	ACCEPTED		13451	13612	3	409	0	18	239	5955	23318	4	267.9	2660640	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/frontend/lean/frontend_gate_Lgraph.lean
id_stage_gate	ACCEPTED		10527	11229	10	29	0	29	220	811	2958	4	134.8	2237576	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/id_stage/lean/id_stage_gate_Lgraph.lean
instr_queue_gate	ACCEPTED		1100	1186	6	71	0	14	26	425	1612	4	10.5	657880	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/instr_queue/lean/instr_queue_gate_Lgraph.lean
instr_realign_gate	ACCEPTED		122	143	4	3	0	6	5	16	41	4	2.1	490268	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/instr_realign/lean/instr_realign_gate_Lgraph.lean
instr_scan_gate	ACCEPTED		1230	1257	13	0	0	1	22	104	407	4	7.8	672212	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/instr_scan/lean/instr_scan_gate_Lgraph.lean
intpipe_alu	ACCEPTED		4045	5118	2	0	0	4	63	212	829	4	35.4	1250916	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/intpipe_alu_Lgraph.lean
intpipe_alu	ACCEPTED		4045	5118	2	0	0	4	65	238	803	4	38.6	1269868	/soe/czeng14/projects/livehd-new/generated/vc_sweep2/lean/intpipe_alu_Lgraph.lean
intpipe_csr_file_conv	ACCEPTED		439	464	4	7	0	9	20	23	59	4	2.7	554408	/soe/czeng14/projects/livehd-new/generated/vc_async_check/lean/intpipe_csr_file_conv_Lgraph.lean
intpipe_csr_file_fl_barrier	ACCEPTED		63	65	10	5	0	9	1	2	3	4	1.8	480180	/soe/czeng14/projects/livehd-new/generated/vc_async_check/lean/intpipe_csr_file_fl_barrier_Lgraph.lean
intpipe_csr_msgs	ACCEPTED		6510	7447	11	53	1	20	127	405	1500	4	68.1	1601360	/soe/czeng14/projects/livehd-new/generated/vc_async_check/lean/intpipe_csr_msgs_Lgraph.lean
intpipe_csr_msgs	ACCEPTED		6510	7447	11	53	1	20	124	397	1461	4	67.1	1600944	/soe/czeng14/projects/livehd-new/generated/vc_sweep2/lean/intpipe_csr_msgs_Lgraph.lean
intpipe_csr_pmu_read_interface	ACCEPTED		148	185	3	6	0	5	5	7	18	4	2.2	496356	/soe/czeng14/projects/livehd-new/generated/vc_async_check/lean/intpipe_csr_pmu_read_interface_Lgraph.lean
intpipe_csr_replay	ACCEPTED		1054	1133	2	6	0	44	41	49	105	4	7.0	647524	/soe/czeng14/projects/livehd-new/generated/vc_async_check/lean/intpipe_csr_replay_Lgraph.lean
intpipe_decode	ACCEPTED		6161	6659	1	0	0	1	80	228	931	4	58.2	1485228	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/intpipe_decode_Lgraph.lean
intpipe_fp_scoreboard	ACCEPTED		1300	1427	2	0	0	4	21	67	256	4	9.1	678460	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/intpipe_fp_scoreboard_Lgraph.lean
intpipe_imm	ACCEPTED		226	242	1	0	0	2	7	35	78	4	2.7	512348	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/intpipe_imm_Lgraph.lean
intpipe_inst_bits_stage	ACCEPTED		176	176	1	32	0	7	6	17	40	4	2.1	500912	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/intpipe_inst_bits_stage_Lgraph.lean
intpipe_int_scoreboard	ACCEPTED		943	1095	3	0	0	8	21	42	153	4	6.8	631948	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/intpipe_int_scoreboard_Lgraph.lean
intpipe_mask_scoreboard	ACCEPTED		837	953	2	0	0	4	20	58	196	4	6.2	618200	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/intpipe_mask_scoreboard_Lgraph.lean
intpipe_rf	ACCEPTED		1370	1618	2	65	0	9	32	29	107	4	8.2	716040	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/intpipe_rf_Lgraph.lean
issue_read_operands_gate	ACCEPTED		6172	6844	36	89	0	21	114	4651	18224	4	107.3	1533500	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/issue_read_operands/lean/issue_read_operands_gate_Lgraph.lean
