module	verdict	reason	sources	nodes	outputs	flops	mems	inputs	check_ms	step1_ms	run_ms	cycles	wall_s	rss_kb	path
minion_dcache_128x64_1r1w_lram	ACCEPTED		86	92	1	9	2	12	2	5	14	4	1.4	485128	generated/core-et/phaseA/lean/minion_dcache_128x64_1r1w_lram_Lgraph.lean
minion_dcache_128x72_1r1w_lram	ACCEPTED		86	92	1	9	2	12	3	8	23	4	1.5	484868	generated/core-et/phaseA/lean/minion_dcache_128x72_1r1w_lram_Lgraph.lean
minion_dcache_buffer_array	ACCEPTED		561	616	5	16	1	23	21	21	42	4	4.4	562300	generated/core-et/phaseA/lean/minion_dcache_buffer_array_Lgraph.lean
minion_dcache_data_array	ACCEPTED		464	517	1	26	8	7	14	55	165	4	3.7	547440	generated/core-et/phaseA/lean/minion_dcache_data_array_Lgraph.lean
minion_dcache_metadata_array	ACCEPTED		1732	1779	2	22	4	8	28	156	553	4	11.8	743404	generated/core-et/phaseA/lean/minion_dcache_metadata_array_Lgraph.lean
minion_dcache_replay_queue	ACCEPTED		6895	7868	15	129	2	28	142	594	2167	4	77.1	1683544	generated/core-et/phaseA/lean/minion_dcache_replay_queue_Lgraph.lean
minion_dcache_tlb_array	ACCEPTED		749	884	4	36	1	14	17	34	97	4	5.9	600784	generated/core-et/phaseA/lean/minion_dcache_tlb_array_Lgraph.lean
minion_tlb	ACCEPTED		724	867	5	30	1	14	19	39	93	4	4.7	596960	generated/core-et/phaseA/lean/minion_tlb_Lgraph.lean
vpu_lane_tima	ACCEPTED		791	818	2	13	2	19	31	36	119	4	5.1	593260	generated/core-et/phaseA/lean/vpu_lane_tima_Lgraph.lean
vpu_tensora_rf	ACCEPTED		34	34	1	3	1	6	1	1	3	4	1.3	476816	generated/core-et/phaseA/lean/vpu_tensora_rf_Lgraph.lean
vpu_tensorb_rf	ACCEPTED		34	34	1	3	1	6	1	1	3	4	1.4	475292	generated/core-et/phaseA/lean/vpu_tensorb_rf_Lgraph.lean
vpu_tensorc_rf	ACCEPTED		34	34	1	3	1	6	0	2	2	4	1.3	477316	generated/core-et/phaseA/lean/vpu_tensorc_rf_Lgraph.lean
vpu_tensortmp_rf	ACCEPTED		34	34	1	3	1	6	1	1	3	4	0.8	477328	generated/core-et/phaseA/lean/vpu_tensortmp_rf_Lgraph.lean
