module	emit	stage	d2_verdict	nodes	flops	mems	single_edge_or_reason
vpu_tensora_rf	EMITTED	emitted	ACCEPTED	34	3	1	edge normalization on `vpu_tensora_rf`: P=2 slots, 1 latch(es) retyped, 0 gated clock(s) folded into an enable, 2 element(s) slotted, 1 memory(ies) slotted (1 latch cell(s), 1 negedge flop(s))
vpu_tensorb_rf	EMITTED	emitted	ACCEPTED	34	3	1	edge normalization on `vpu_tensorb_rf`: P=2 slots, 1 latch(es) retyped, 0 gated clock(s) folded into an enable, 2 element(s) slotted, 1 memory(ies) slotted (1 latch cell(s), 1 negedge flop(s))
vpu_tensorc_rf	EMITTED	emitted	ACCEPTED	34	3	1	edge normalization on `vpu_tensorc_rf`: P=2 slots, 1 latch(es) retyped, 0 gated clock(s) folded into an enable, 2 element(s) slotted, 1 memory(ies) slotted (1 latch cell(s), 1 negedge flop(s))
vpu_tensortmp_rf	EMITTED	emitted	ACCEPTED	34	3	1	edge normalization on `vpu_tensortmp_rf`: P=2 slots, 1 latch(es) retyped, 0 gated clock(s) folded into an enable, 2 element(s) slotted, 1 memory(ies) slotted (1 latch cell(s), 1 negedge flop(s))
vpu_rf	NO_EMIT	single_edge					memory `memory_388:gen_latch.u_rf.rf_q` port 0 has a clock that resolves to a constant: a level-sensitive (latch-array) write, which has no edge to slot
minion_tlb	EMITTED	emitted	ACCEPTED	867	30	1	edge normalization on `minion_tlb`: P=2 slots, 1 latch(es) retyped, 0 gated clock(s) folded into an enable, 29 element(s) slotted, 1 memory(ies) slotted (1 latch cell(s), 1 negedge flop(s))
minion_dcache_tlb_array	EMITTED	emitted	ACCEPTED	884	36	1	edge normalization on `minion_dcache_tlb_array`: P=2 slots, 1 latch(es) retyped, 0 gated clock(s) folded into an enable, 35 element(s) slotted, 1 memory(ies) slotted (1 latch cell(s), 1 negedge flop(s
minion_dcache_buffer_array	EMITTED	emitted	ACCEPTED	616	16	1	edge normalization on `minion_dcache_buffer_array`: P=2 slots, 1 latch(es) retyped, 0 gated clock(s) folded into an enable, 15 element(s) slotted, 1 memory(ies) slotted (1 latch cell(s), 1 negedge flo
minion_dcache_128x64_1r1w_lram	EMITTED	emitted	ACCEPTED	92	9	2	edge normalization on `minion_dcache_128x64_1r1w_lram`: P=2 slots, 2 latch(es) retyped, 0 gated clock(s) folded into an enable, 6 element(s) slotted, 2 memory(ies) slotted (2 latch cell(s), 2 negedge 
minion_dcache_128x72_1r1w_lram	EMITTED	emitted	ACCEPTED	92	9	2	edge normalization on `minion_dcache_128x72_1r1w_lram`: P=2 slots, 2 latch(es) retyped, 0 gated clock(s) folded into an enable, 6 element(s) slotted, 2 memory(ies) slotted (2 latch cell(s), 2 negedge 
minion_dcache_replay_queue	EMITTED	emitted	ACCEPTED	7868	129	2	edge normalization on `minion_dcache_replay_queue`: P=2 slots, 2 latch(es) retyped, 0 gated clock(s) folded into an enable, 128 element(s) slotted, 2 memory(ies) slotted (2 latch cell(s), 2 negedge fl
minion_dcache_metadata_array	EMITTED	emitted	ACCEPTED	1779	22	4	edge normalization on `minion_dcache_metadata_array`: P=2 slots, 1 latch(es) retyped, 0 gated clock(s) folded into an enable, 21 element(s) slotted, 4 memory(ies) slotted (1 latch cell(s), 4 negedge f
minion_frontend_thread_buffer	NO_EMIT	single_edge					memory `memory_18576:buffer_pc` has type=24 (not async 0 / sync 1 / array 2): its read ports mix clocked and unclocked reads, which the Memory cell's one global `type` cannot represent
vpu_lane_tima	EMITTED	emitted	ACCEPTED	818	13	2	edge normalization on `vpu_lane_tima`: P=2 slots, 3 latch(es) retyped, 7 gated clock(s) folded into an enable, 12 element(s) slotted, 2 memory(ies) slotted (3 latch cell(s), 2 negedge flop(s), 7 gated
minion_dcache_data_array	EMITTED	emitted	ACCEPTED	517	26	8	edge normalization on `minion_dcache_data_array`: P=2 slots, 1 latch(es) retyped, 0 gated clock(s) folded into an enable, 17 element(s) slotted, 8 memory(ies) slotted (1 latch cell(s), 8 negedge flop(
minion_frontend	NO_EMIT	single_edge					Phase B: compiles with slang --allow-use-before-declare (the census-era failure was slang strictness, not an RTL change); then pass.single_edge refused memory-type-unsupported: gen_thread_buf[0].u_tb.buffer_pc has type=24 (the same thread buffer as minion_frontend_thread_buffer)
minion_dcache_top	NO_EMIT	pass.lean-timeout					emission exceeded the pipeline's 90-minute budget after edge normalization on `minion_dcache_top`: P=2 slots, 12 latch(es) retyped, 302 gated clock(s) folded into an enable, 985 element(s) slotted, 21 memory(ies) slo
